Pair,Total_Confusions,i_to_j,j_to_i
gel ↔ voi,31,13,18
gel ↔ sax,21,3,18
gel ↔ vio,21,1,20
gel ↔ org,21,9,12
gac ↔ pia,19,9,10
pia ↔ sax,18,6,12
sax ↔ tru,18,13,5
gel ↔ pia,17,7,10
cla ↔ tru,16,5,11
org ↔ pia,13,7,6
gac ↔ gel,13,8,5
tru ↔ vio,13,10,3
org ↔ voi,12,4,8
cla ↔ flu,12,5,7
flu ↔ pia,12,9,3
cel ↔ vio,11,4,7
gac ↔ vio,11,5,6
gel ↔ tru,11,2,9
flu ↔ org,11,9,2
cla ↔ sax,11,5,6
sax ↔ vio,10,8,2
gac ↔ sax,9,3,6
org ↔ tru,9,0,9
tru ↔ voi,8,8,0
flu ↔ vio,8,6,2
gac ↔ tru,8,0,8
cla ↔ gac,8,6,2
cla ↔ org,8,8,0
cel ↔ cla,8,3,5
flu ↔ gac,8,8,0
cel ↔ gel,8,7,1
gac ↔ org,7,2,5
cel ↔ gac,7,6,1
gac ↔ voi,7,3,4
org ↔ sax,6,1,5
cel ↔ flu,6,2,4
flu ↔ voi,6,6,0
sax ↔ voi,6,6,0
org ↔ vio,6,0,6
cel ↔ pia,5,2,3
pia ↔ tru,5,0,5
pia ↔ voi,5,5,0
vio ↔ voi,5,4,1
cla ↔ pia,5,5,0
flu ↔ gel,4,3,1
cel ↔ sax,4,1,3
cla ↔ vio,4,2,2
flu ↔ sax,4,0,4
pia ↔ vio,4,2,2
cla ↔ gel,3,2,1
cel ↔ org,2,1,1
flu ↔ tru,2,2,0
cla ↔ voi,1,1,0
cel ↔ voi,1,1,0
